customer_id,store_id,first_name,last_name,email,address_id,activebool,create_date,last_update,active,initials
146,1,JAMIE,RICE,JAMIE.RICE@sakilacustomer.org,150,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,J.R.
10,1,DOROTHY,TAYLOR,DOROTHY.TAYLOR@sakilacustomer.org,14,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,D.T.
376,1,RANDY,GAITHER,RANDY.GAITHER@sakilacustomer.org,381,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,R.G.
523,1,HARVEY,GUAJARDO,HARVEY.GUAJARDO@sakilacustomer.org,529,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,H.G.
189,1,LORETTA,CARPENTER,LORETTA.CARPENTER@sakilacustomer.org,193,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,L.C.
132,2,ESTHER,CRAWFORD,ESTHER.CRAWFORD@sakilacustomer.org,136,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,E.C.
560,1,JORDAN,ARCHULETA,JORDAN.ARCHULETA@sakilacustomer.org,566,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,J.A.
299,2,JAMES,GANNON,JAMES.GANNON@sakilacustomer.org,304,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,J.G.
586,1,KIRK,STCLAIR,KIRK.STCLAIR@sakilacustomer.org,592,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,K.S.
447,1,CLIFFORD,BOWENS,CLIFFORD.BOWENS@sakilacustomer.org,452,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,C.B.
85,2,ANNE,POWELL,ANNE.POWELL@sakilacustomer.org,89,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,A.P.
592,1,TERRANCE,ROUSH,TERRANCE.ROUSH@sakilacustomer.org,598,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,0,T.R.
178,2,MARION,SNYDER,MARION.SNYDER@sakilacustomer.org,182,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,M.S.
154,2,MICHELE,GRANT,MICHELE.GRANT@sakilacustomer.org,158,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,M.G.
453,1,CALVIN,MARTEL,CALVIN.MARTEL@sakilacustomer.org,458,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,C.M.
197,2,SUE,PETERS,SUE.PETERS@sakilacustomer.org,201,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,S.P.
76,2,IRENE,PRICE,IRENE.PRICE@sakilacustomer.org,80,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,I.P.
93,1,PHYLLIS,FOSTER,PHYLLIS.FOSTER@sakilacustomer.org,97,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,P.F.
297,1,SHERRI,RHODES,SHERRI.RHODES@sakilacustomer.org,302,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,S.R.
69,2,JUDY,GRAY,JUDY.GRAY@sakilacustomer.org,73,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,J.G.
16,2,SANDRA,MARTIN,SANDRA.MARTIN@sakilacustomer.org,20,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,0,S.M.
205,2,EILEEN,CARR,EILEEN.CARR@sakilacustomer.org,209,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,E.C.
159,1,JILL,HAWKINS,JILL.HAWKINS@sakilacustomer.org,163,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,J.H.
89,1,JULIA,FLORES,JULIA.FLORES@sakilacustomer.org,93,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,J.F.
498,1,GENE,SANBORN,GENE.SANBORN@sakilacustomer.org,503,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,G.S.
118,1,KIM,CRUZ,KIM.CRUZ@sakilacustomer.org,122,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,K.C.
383,1,MARTIN,BALES,MARTIN.BALES@sakilacustomer.org,388,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,M.B.
406,1,NATHAN,RUNYON,NATHAN.RUNYON@sakilacustomer.org,411,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,0,N.R.
34,2,REBECCA,SCOTT,REBECCA.SCOTT@sakilacustomer.org,38,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,R.S.
1,1,MARY,SMITH,MARY.SMITH@sakilacustomer.org,5,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,M.S.
593,2,RENE,MCALISTER,RENE.MCALISTER@sakilacustomer.org,599,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,R.M.
531,2,JAMIE,WAUGH,JAMIE.WAUGH@sakilacustomer.org,537,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,J.W.
354,2,JUSTIN,NGO,JUSTIN.NGO@sakilacustomer.org,359,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,J.N.
333,2,ANDREW,PURDY,ANDREW.PURDY@sakilacustomer.org,338,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,A.P.
534,1,CHRISTIAN,JUNG,CHRISTIAN.JUNG@sakilacustomer.org,540,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,0,C.J.
245,1,COURTNEY,DAY,COURTNEY.DAY@sakilacustomer.org,249,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,C.D.
23,2,SARAH,LEWIS,SARAH.LEWIS@sakilacustomer.org,27,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,S.L.
441,1,MARIO,CHEATHAM,MARIO.CHEATHAM@sakilacustomer.org,446,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,M.C.
117,1,EDITH,MCDONALD,EDITH.MCDONALD@sakilacustomer.org,121,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,E.M.
90,2,RUBY,WASHINGTON,RUBY.WASHINGTON@sakilacustomer.org,94,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,R.W.
366,1,BRANDON,HUEY,BRANDON.HUEY@sakilacustomer.org,371,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,B.H.
212,2,WILMA,RICHARDS,WILMA.RICHARDS@sakilacustomer.org,216,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,W.R.
19,1,RUTH,MARTINEZ,RUTH.MARTINEZ@sakilacustomer.org,23,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,R.M.
408,1,MANUEL,MURRELL,MANUEL.MURRELL@sakilacustomer.org,413,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,M.M.
321,1,KEVIN,SCHULER,KEVIN.SCHULER@sakilacustomer.org,326,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,K.S.
145,1,LUCILLE,HOLMES,LUCILLE.HOLMES@sakilacustomer.org,149,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,L.H.
290,1,KRISTINA,CHAMBERS,KRISTINA.CHAMBERS@sakilacustomer.org,295,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,K.C.
275,2,CAROLE,BARNETT,CAROLE.BARNETT@sakilacustomer.org,280,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,C.B.
541,2,DARREN,WINDHAM,DARREN.WINDHAM@sakilacustomer.org,547,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,D.W.
361,2,LAWRENCE,LAWTON,LAWRENCE.LAWTON@sakilacustomer.org,366,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,L.L.
251,2,VICKIE,BREWER,VICKIE.BREWER@sakilacustomer.org,255,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,V.B.
288,1,BOBBIE,CRAIG,BOBBIE.CRAIG@sakilacustomer.org,293,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,B.C.
528,1,CLAUDE,HERZOG,CLAUDE.HERZOG@sakilacustomer.org,534,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,C.H.
401,2,TONY,CARRANZA,TONY.CARRANZA@sakilacustomer.org,406,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,T.C.
168,1,REGINA,BERRY,REGINA.BERRY@sakilacustomer.org,172,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,R.B.
55,2,DORIS,REED,DORIS.REED@sakilacustomer.org,59,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,D.R.
494,2,RAMON,CHOATE,RAMON.CHOATE@sakilacustomer.org,499,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,R.C.
47,1,FRANCES,PARKER,FRANCES.PARKER@sakilacustomer.org,51,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,F.P.
94,1,NORMA,GONZALES,NORMA.GONZALES@sakilacustomer.org,98,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,N.G.
265,2,JENNIE,TERRY,JENNIE.TERRY@sakilacustomer.org,270,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,J.T.
109,2,EDNA,WEST,EDNA.WEST@sakilacustomer.org,113,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,E.W.
273,2,PRISCILLA,LOWE,PRISCILLA.LOWE@sakilacustomer.org,278,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,P.L.
599,2,AUSTIN,CINTRON,AUSTIN.CINTRON@sakilacustomer.org,605,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,A.C.
480,1,COREY,HAUSER,COREY.HAUSER@sakilacustomer.org,485,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,C.H.
437,2,RANDALL,NEUMANN,RANDALL.NEUMANN@sakilacustomer.org,442,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,R.N.
384,2,ERNEST,STEPP,ERNEST.STEPP@sakilacustomer.org,389,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,E.S.
381,2,BOBBY,BOUDREAU,BOBBY.BOUDREAU@sakilacustomer.org,386,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,B.B.
